issue,subject,company,response,product_area,status,request_type,justification
I notice that people I assigned the test in October of 2025 have not received new tests. How long do the tests stay active in the system.,Test Active in the system,HackerRank,"You can create a test in HackerRank to assess candidates for specific skills, experience levels, or job roles. Depending on your selection, HackerRank recommends relevant questions or allows you to build the test from scratch.

To create a test:

1.  Log in to your **HackerRank for Work** account using your credentials.

2.  Go to the **Tests** tab.

3.  Click **Create Test**.

    You can create a test using one of the following methods:

    - [Create a test with a job description](https://support.hackerrank.com/articles/6967597139-creating-a-new-test#creating-a-test-with-job-description-4)

    - [Create a test based on a specific role](https://support.hackerrank.com/articles/6967597139-creating-a-new-test#creating-a-test-based-on-a-specific-role-10)

    - [Create a custom test](https://support.hackerrank.com/articles/6967597139-creating-a-new-test#creating-a-custom-test-15)

You can generate a skills-based assessment by using your job description. HackerRank analyzes the job description to identify the required skills and experience level, then recommends relevant questions from the HackerRank library. This helps you save time and ensures that the test aligns with the role requirements.

To create a test with a job description:

1.  Select **Create Test with Job Description**.

2.  Copy and paste the job description into the input field.

3.  Click **Submit**.

4.  Review the auto-generated skills and questions in the **Test Preview** panel.

5.  Click **Create Test** to continue.

6.  (Optional) Edit the test:

    - To add sections and questions, see Manage Sections in Tests.

    - To delete a question, select the **Delete** icon next to the question.

    - To rename the test, click the edit icon next to the test title.

    - To change the test duration, click the edit icon next to the test duration.

7.  Click **Publish** to make the test available to candidates.

You can create a test using predefined roles in HackerRank. Each predefined role includes mapped skills and curated questions from the HackerRank Library.

To create a test based on a specific role:

1.  Select a predefined role from the available options. You can search or scroll to find it.

2.  Review the auto-generated skills and questions in the **Test Preview** panel.

3.  Click **Create Test** to continue.

4.  (Optional) Edit the test:

    - To add sections and questions, see Manage Sections in Tests.

    - To delete a question, select the **Delete** icon next to the question.

    - To rename the test, click the edit icon next to the test title.

    - To change the test duration, click the edit icon next to the test duration.

5.  Click **Publish** to make the test available to candidates.

Custom tests let you design assessments that meet specific hiring needs. You can create a test from scratch to evaluate candidates for particular roles, skill levels, or experience. Use this option when you need a highly tailored assessment.

For example, if you want to hire a Quality Assurance Engineer with five years of experience and expertise in creating optimal test automation scripts, you can create a custom test with questions that assess the required skills and experience.

You build the test by adding your own questions or by selecting questions from the HackerRank Library or your Company Library.

To create a custom test:

1.  Scroll to the bottom of the role list and select **Other**.

2.  Click **Create Test**.

3.  Configure the test:

    - To add sections and questions, see Manage Sections in Tests.

    - To delete a question, select the **Delete** icon next to the question.

    - To rename the test, click the edit icon next to the test title.

    - To change the test duration, click the edit icon next to the test duration.

4.  Click **Publish** to make the test available to candidates.

Select **Move to draft** from the More options (⋮) menu to change a published test to draft mode. If a candidate has already started the test, their session continues even when you move the test to draft.

When you leave a test in draft mode without publishing, a confirmation dialog prompts you to either publish now or continue editing later.

Click **Share** to share the test with your team. For more information, see [📄 Grant Test Access](/articles/9398245856).

You can preview a test from the candidate’s perspective by selecting **Try Test**. This action opens the complete test experience in a new window.

You can also copy the test URL and share it with team members who have a HackerRank for Work license so they can open the link and preview the test themselves.

If a team member does not have a HackerRank for Work license, they cannot access **Try Test**. However, you can still benchmark the test or allow them to experience it by inviting them as a candidate. For more information, see [📄 Invite Candidates to a Test](/articles/6027855406).

HackerRank applies the following attempt rules when you preview or invite a candidate:

- **Using Try Test with the prefilled email:** When you select **Try Test** and keep the prefilled email unchanged, the preview does not consume an attempt.

- **Using Try Test with changes to the prefilled email:** When you select **Try Test** and replace the prefilled email with another email, the preview consumes an attempt.

- **Inviting an external candidate**: Inviting an external candidate consumes an attempt when the candidate launches the test.

- **Inviting an internal employee**: If you invite an internal employee who does not have a HackerRank for Work license, the invitation consumes an attempt when the employee launches the test.",screen,replied,product_issue,intent=assessment; request_type=product_issue; escalate=False
site is down & none of the pages are accessible,,None,Escalate to a human,library,escalated,bug,intent=bug; request_type=bug; escalate=True
"I'm noticing that you all have many default versions of roles. (e.g. front end developer for react, angular, vue.js, etc.) What do you consider best practice 
for when to create a new test versus create a variant of the test? What are the advantages and disadvantages of using variants?","When should I create a variant versus
 have a different test?",HackerRank,"Test variants allow you to create a single assessment that adapts to different candidate profiles. You can design multiple variants within the same assessment to personalize the evaluation based on roles, skills, or other criteria. This approach eliminates the need to manage separate tests, improves efficiency, and ensures candidates are assessed on the most relevant content.

To create test variants:

1.  Log in to your **HackerRank for Work** account using your credentials.

2.  Go to the **Tests** tab.

3.  Open the test you want to modify.

4.  Go to the **Questions** tab.

5.  Click the more option menu (**⋮**) in the top right corner.

6.  Select **Create Variants.**

7.  Click **Create Variants.**

The system converts the existing test into **Variant 1** and opens **Variant 2**, where you can start creating the second version. To add more variants, select the **+** icon next to the tabs.

**Note:** A variant-based test requires at least two variants.

To rename a test variant:

1.  Click the more option menu (**⋮**) next to the variant name.

2.  Select **Rename**.

3.  Enter the new name.

4.  Click **Save**.

To add questions or sections:

1.  Select the variant tab (for example, Variant 2).

2.  Click **Add New**.

3.  Choose one of the following options:

    - **Add Skill-Based Questions**: Use HackerRank-curated questions grouped by skill.

    - **Add Manually**: Select questions from the library or create custom questions.

    - **Add from Other Variants**: Reuse existing sections from other test variants.

4.  Select the relevant questions or sections.

5.  Click **Add** to include them in the variant.

**Note:** You can also add skill-based questions or reuse existing sections directly from the empty variant screen using the **Add New Skill Bundle** or **Add from Other Variants** buttons.

To delete a variant:

1.  Click the more option menu (**⋮**) next to the variant name.

2.  Select **Delete**.

    A confirmation dialog appears. If the variant is mapped to a candidate option, the system also removes the mapping.

3.  Click **Delete Variant** to confirm.

**Note:** You cannot delete a variant if only two variants exist. A test requires at least two variants. To proceed, manually remove the sections from the variant instead.

To remove a section from a test variant:

1.  Hover over the section you want to remove.

2.  Click the trash icon that appears.

You can use routing logic to assign candidates to specific variants.

To configure logic:

1.  Click **Add Logic** in the bottom right corner**.** Alternatively, use **Add Variant  Logic** in the top navigation bar.

2.  Enter a routing question. (for example, What is your experience level?).

3.  (Optional) Add description to provide additional context about the variant options.

4.  Define the response options (For example, Less than 5 years, Greater than 5 years).

5.  Select the appropriate variant for each option using the **Select Variant** dropdown.

6.  Click **Confirm** to save and activate the routing logic. 

After you configure routing logic, publishing becomes enabled.

**Note:** Variants without logic will not be visible to any candidate until you add logic.

After a candidate completes their assigned variant, go to the **Candidates** tab to view the variant they used. The **Candidate Option** column displays the option selected by each candidate.

Use the **Candidate Option** filter to filter candidates by variant.

**Note:** For variant-based tests, you can add extra time at the section level for candidates. For more information, see [Adding extra time in variant-based tests](https://support.hackerrank.com/articles/4811403281-adding-extra-time-for-candidates#adding-extra-time-in-variant-based-tests).

The **All Sections** view allows you to edit sections that apply to all variants. Any changes you make here apply to the corresponding section in each variant.",screen,replied,product_issue,intent=assessment; request_type=product_issue; escalate=False
"Hi there

We have sent a candidate a Hackerrank assessment already, but we have been informed that they require extra time. As the assessment is 105 minutes, they need an extra 50% extra time added (so around 53 minutes) in addition.

Please can you provide step-by-step instruction on how we are to reinvite them.

Do we find their profile in 'Candidates' , put in Add time 53 minutes and then click 'reinvite' and send the email? The email to the candidate says 105 minutes as the duration though still so not sure how we can check?

Thanks","How to reinvite candidate to Hackerrank 
assessment and add extra time",HackerRank,"HackerRank for Work allows you to extend the test duration for candidates in two ways:

- [Add Time Accommodation](https://support.hackerrank.com/articles/4811403281-adding-extra-time-for-candidates#add-time-accommodation-3)

- [Add Extra Time](https://support.hackerrank.com/articles/4811403281-adding-extra-time-for-candidates#add-extra-time-17)

This ensures that candidates have a fair opportunity to complete their tests, whether due to accessibility needs or unexpected technical issues.

The **Add Time Accommodation** feature allows you to extend test duration either before or after sending candidate invites, as long as the candidate has not yet started the test.

- You must have a published test in your HackerRank account.

- You must be the test owner or have editor access.

To add time accommodation:

1.  Log in to your **HackerRank for Work** account using your credentials.

2.  Go to the **Tests** tab. 

3.  Select the test you want to modify.

4.  Click **Invite**

5.  Select **Time Accommodation** dropdown from the upper-right corner.

6.  Choose one of the following options:

    - Select **25%**, **50%**, **75%**, or **100%** to extend the test duration.

    - Select **Custom** to set a custom percentage:

      1.  Enter a percentage in multiples of five.

      2.  Select **Save**.

The system updates the invite template with the modified duration. You can then invite the candidate to the test. For more information, see [📄 Invite Candidates to a Test](/articles/6027855406)

You can extend the test duration for specific candidates after you send the invites, as long as the candidates have not started the test.

To add time accommodation for specific candidates:

1.  Log in to your **HackerRank for Work** account using your credentials.

2.  Go to the **Tests** tab. 

3.  Select the test you want to modify.

4.  Go to the **Candidates** tab.

5.  Select the checkbox next to the candidate(s) you want to accommodate time.

6.  Click **More \> Add Time Accommodation. **

7.  Enter the accommodation percentage in multiples of five.

8.  Click **Save**. A success message appears.

**Note:** After you apply time accommodation, the updated duration appears in the test invite email and on the test landing page before the candidate starts the test.

The test timer runs continuously and does not pause for technical issues. If a candidate loses time because of internet connectivity or other issues, you can add extra time during the test, after the candidate submits, or after the test ends.

- You must have at least one candidate who is currently attempting or has submitted the test.

- You must be the test owner or have editor access.

To add extra time for specific candidates:

1.  Log in to your **HackerRank for Work** account using your credentials.

2.  Go to the **Tests** tab. 

3.  Select the test you want to modify.

4.  Go to the **Candidates** tab.

5.  Select the checkbox next to the candidate(s).

6.  Click **More \> Add Time. **

7.  Enter the time in minutes.

8.  Click **Confirm**.

**Note: **

- A candidate who is still in a test session must refresh the page to see the updated timer.

- A candidate who has completed the test must log in again to view the added time.

- Do not add time to a test that contains DevOps questions after it ends or after the candidate submits it. The system purges the virtual machine for DevOps questions upon submission, and added time does not restore access. To allow additional time, re-invite the candidate to take the test as a new attempt.

For variant-based tests, you can add extra time at the section level for candidates.

To add extra time for specific candidates in a variant-based test:

1.  Log in to your **HackerRank for Work** account using your credentials.

2.  Go to the **Tests** tab. 

3.  Select the test you want to modify.

4.  Go to the **Candidates** tab.

5.  Select the checkbox next to one or more candidates from the same test variant.

6.  Click **More \> Add Time. **

7.  In the **Add additional time** dialog, enter additional time (in minutes) for the required sections.

8.  Click **Confirm**.

**Note:**

- The **Add additional time** dialog displays only the sections included in the selected variant (for example, Problem Solving, JavaScript, or CSS).

- For bulk updates, select candidates from the same test variant. If you select candidates from different variants, the **Add time** option is disabled. Filter the candidate list to a single variant to continue.

- Candidates who are actively taking the test must refresh the page to see the updated timer.

- Candidates who have completed the test must log in again to view the added time.",screen,replied,product_issue,intent=assessment; request_type=product_issue; escalate=False
"i signed up using google login on hackerrank community , so i do not have a separate hackerrank password. please delete my account
",,HackerRank,"**What happens to Google Auth sign-in if my company email domain changes?**

If your company changes its email domain, create a new HackerRank account using your new company email. Then, merge your existing account with the new one and set the new account as your primary login.

**How do I update my password if I sign up using a third-party sign-up method?**

HackerRank does not store a separate password for your account if you sign up using a third-party provider such as Google or GitHub.\
To update your password, change it in your Google or GitHub account settings.\
If you cannot access your third-party account, contact HackerRank support at [help@hackerrank.com](mailto:help@hackerrank.com) for assistance.

**What should I do if I do not receive the activation email?**

 If you do not receive the activation email:

- Check your **Spam or Junk** folder. 

- Verify that you entered the correct email address during sign-up.

If you still do not receive the email, contact HackerRank support at [help@hackerrank.com](mailto:help@hackerrank.com) for assistance.

**Are certifications merged when I combine multiple accounts?**

No. HackerRank does not merge certifications across accounts.

**How do I delete an account created using Google or GitHub if I do not have a password?**

HackerRank does not store a separate password for your account if you sign up using a third-party provider such as Google or GitHub.\
If you cannot access your third-party account, contact HackerRank support at [help@hackerrank.com](mailto:help@hackerrank.com) for assistance.

**How do I delete an account created with incorrect credentials?**

Contact HackerRank Support at [help@hackerrank.com](mailto:help@hackerrank.com) and request account deletion.

**Can I recover my account after I delete it?**

No. Once you delete an account, you cannot recover it.",community,replied,product_issue,intent=account_access; request_type=product_issue; escalate=False
"One of my claude conversations has some private info, i forgot to make a temporary chat, is there anything
 else that can be done? like delete etc?",,Claude,"*This article is about our consumer products (e.g. Claude Free, Claude Pro). For our commercial products (e.g. Claude for Work, Claude API), see [here](https://privacy.claude.com/en/articles/11117329-how-can-i-delete-or-rename-a-conversation).*

To delete or rename an individual conversation:

1. Navigate to the conversation you want to delete or rename.
2. Click on the name of the conversation at the top of the screen.
3. Select either ""Delete"" or ""Rename"" from the options that appear:

To delete multiple conversations at once:

1. Navigate to [your chat history](https://claude.ai/recents) by clicking ""Chats"" on the left sidebar.
2. Hover over the conversations you want to delete, and check the selection box that appears.
3. Once you've selected the conversations to delete, click on the ""Delete Selected"" button.

- [How do I view and sign your Data Processing Addendum (DPA)?](https://support.claude.com/en/articles/7996862-how-do-i-view-and-sign-your-data-processing-addendum-dpa)
- [How can I delete my Claude account?](https://support.claude.com/en/articles/9028421-how-can-i-delete-my-claude-account)
- [How can I create and manage projects?](https://support.claude.com/en/articles/9519177-how-can-i-create-and-manage-projects)
- [Can you delete data that I sent via Team and Enterprise plans?](https://support.claude.com/en/articles/9796617-can-you-delete-data-that-i-sent-via-team-and-enterprise-plans)
- [Configure custom data retention controls for Enterprise plans](https://support.claude.com/en/articles/10440198-configure-custom-data-retention-controls-for-enterprise-plans)",conversation_management,replied,product_issue,intent=general; request_type=product_issue; escalate=False
What is the name of the actor in Iron Man?,"Urgent, please help",None,"I am sorry, this is out of scope from my capabilities",settings,replied,invalid,intent=general; request_type=invalid; escalate=False
I bought Visa Traveller's Cheques from Citicorp and they were stolen in Lisbon last night. What do I do?,,Visa,Escalate to a human,consumer_support,escalated,product_issue,intent=fraud; request_type=product_issue; escalate=True
Where can I report a lost or stolen Visa card from India?,Card stolen,Visa,Escalate to a human,consumer_support,escalated,product_issue,intent=fraud; request_type=product_issue; escalate=True
Thank you for helping me,,None,Happy to help,api,replied,invalid,intent=general; request_type=invalid; escalate=False
