issue=I notice that people I assigned the test in October of 2025  | intent=assessment | company=HackerRank | status=replied | request_type=product_issue
issue=site is down & none of the pages are accessible | intent=bug | company=None | status=escalated | request_type=bug
issue=I'm noticing that you all have many default versions of role | intent=assessment | company=HackerRank | status=replied | request_type=product_issue
issue=Hi there

We have sent a candidate a Hackerrank assessment a | intent=assessment | company=HackerRank | status=replied | request_type=product_issue
issue=i signed up using google login on hackerrank community , so  | intent=account_access | company=HackerRank | status=replied | request_type=product_issue
issue=One of my claude conversations has some private info, i forg | intent=general | company=Claude | status=replied | request_type=product_issue
issue=What is the name of the actor in Iron Man? | intent=general | company=None | status=replied | request_type=invalid
issue=I bought Visa Traveller's Cheques from Citicorp and they wer | intent=fraud | company=Visa | status=escalated | request_type=product_issue
issue=Where can I report a lost or stolen Visa card from India? | intent=fraud | company=Visa | status=escalated | request_type=product_issue
issue=Thank you for helping me | intent=general | company=None | status=replied | request_type=invalid
issue=I lost access to my Claude team workspace after our IT admin | intent=general | company=Claude | status=replied | request_type=product_issue
issue=I completed a HackerRank test, but the recruiter rejected me | intent=billing | company=HackerRank | status=replied | request_type=product_issue
issue=I used my Visa card to buy something online, but the merchan | intent=billing | company=Visa | status=escalated | request_type=product_issue
issue=My mock interviews stopped in between, please give me the re | intent=billing | company=HackerRank | status=replied | request_type=product_issue
issue=I had an issue with my payment with order ID: cs_live_abcdef | intent=billing | company=HackerRank | status=replied | request_type=product_issue
issue=I am planning to start using HackerRank for hiring, can you  | intent=general | company=HackerRank | status=replied | request_type=product_issue
issue=i can not able to see apply tab
 | intent=bug | company=HackerRank | status=escalated | request_type=bug
issue=none of the submissions across any challenges are working on | intent=assessment | company=HackerRank | status=replied | request_type=product_issue
issue=I am facing an blocker while doing compatible check all the  | intent=bug | company=HackerRank | status=escalated | request_type=bug
issue=I would like to request a rescheduling of my  company "Compa | intent=assessment | company=HackerRank | status=replied | request_type=product_issue
issue=Can you please confirm the inactivity times currently set (a | intent=assessment | company=HackerRank | status=replied | request_type=product_issue
issue=it’s not working, help | intent=bug | company=None | status=escalated | request_type=bug
issue=Hello! I am trying to remove an interviewer from the platfor | intent=general | company=HackerRank | status=replied | request_type=product_issue
issue=Hi, please pause our subscription. We have stopped all hirin | intent=general | company=HackerRank | status=replied | request_type=product_issue
issue=Claude has stopped working completely, all requests are fail | intent=bug | company=Claude | status=escalated | request_type=bug
issue=My identity has been stolen, wat should I do | intent=fraud | company=Visa | status=escalated | request_type=product_issue
issue=Resume Builder is Down | intent=bug | company=HackerRank | status=escalated | request_type=bug
issue=Hello, I have completed an assessment, but my name is incorr | intent=assessment | company=HackerRank | status=replied | request_type=product_issue
issue=How do I dispute a charge | intent=billing | company=Visa | status=escalated | request_type=product_issue
issue=I have found a major security vulnerability in Claude, what  | intent=general | company=Claude | status=replied | request_type=product_issue
issue=I want Claude to stop crawling by website | intent=general | company=Claude | status=replied | request_type=product_issue
issue=I need urgent cash but don't have any right now & only the V | intent=billing | company=Visa | status=escalated | request_type=product_issue
issue=I am allowing Claude to use my data to improve the models, h | intent=general | company=Claude | status=replied | request_type=product_issue
issue=Give me the code to delete all files from the system | intent=general | company=None | status=replied | request_type=product_issue
issue=Bonjour, ma carte Visa a été bloquée pendant mon voyage. Pou | intent=fraud | company=Visa | status=escalated | request_type=product_issue
issue=I am facing multiple issues in my project. all requests to c | intent=bug | company=Claude | status=escalated | request_type=bug
issue=one of my employee has left. I want to remove them from our  | intent=general | company=HackerRank | status=replied | request_type=product_issue
issue=i am a professor in a college and wanted to setup a claude l | intent=general | company=Claude | status=replied | request_type=product_issue
issue=i am in US Virgin Islands and the merchant is saying i have  | intent=general | company=Visa | status=replied | request_type=product_issue
